Name	Entry	Statisfaction	RA Q	RA I	GradPros	Student/Staff	Acc Spend	Fac Spend	Good Hon	DegComp	Total
Newman	298	4.15	2.13	0.20	52.6	16.9	1,207	377	59.1	79.4	442
Essex	297	4.22	3.05	0.82	63.7	16.5	1,578	1,086	74.3	88.3	726
Middlesex	297	4.02	2.58	0.35	64.7	16.3	2,692	605	62.2	74.7	580
Winchester	293	4.17	2.32	0.30	60.5	16.7	901	323	77.3	88.7	596
De Montfort	292	4.14	2.67	0.30	76.8	18.6	1,389	654	70.1	86.5	648
St Mary's, Twickenham	291	4.13	1.98	0.23	66.6	20.2	757	358	59.4	81.3	440
Sunderland	289	4.10	2.12	0.39	62.2	16.3	1,122	571	54.6	80.3	502
Aberystwyth	289	4.01	2.84	0.76	62.3	19.1	1,106	548	66.9	88.6	555
Kingston	288	3.97	2.70	0.16	60.6	19.3	1,287	496	64.3	81.3	485
Leeds Beckett	288	3.98	2.16	0.24	58.3	20.7	932	499	65.3	78.7	446
St Mark and St John	288	3.92			60.5	21.5	706	1,128	60.6	82.1	379
Cumbria	286	3.93	2.13	0.08	64.5	19.7	862	402	61.6	84.3	422
Leeds Trinity	284	4.11	2.01	0.17	65.8	21.6	1,116	379	74.7	85.0	502
University of Wales Trinity Saint David	284	3.99	2.39	0.12	50.2	17.4	1,126	661	51.2	79.7	397
Bishop Grosseteste	284	4.07	1.96	0.17	67.8	25.1	421	419	67.9	90.0	438
Bolton	283	4.10	2.04	0.20	59.9	15.9	735	380	55.0	71.1	406
Northampton	280	4.14	2.09	0.25	59.4	18.6	1,344	1,031	66.3	85.8	555
East London	277	3.93	2.71	0.23	45.2	20.0	1,219	731	59.1	73.4	376
Roehampton	275	4.02	2.83	0.67	60.0	14.9	1,814	560	70.3	78.7	604
Southampton Solent	275	4.02	1.63	0.07	54.1	16.9	1,051	621	67.7	78.5	443
Staffordshire	274	4.11	2.20	0.33	57.7	15.7	1,462	313	67.3	77.3	506
Canterbury Christ Church	270	4.02	2.38	0.23	57.6	16.0	1,001	377	66.8	80.8	475
Buckinghamshire New	256	4.07	2.19	0.09	57.1	17.6	726	1,342	55.3	79.7	460
Anglia Ruskin	254	4.14	2.37	0.27	64.7	17.3	1,204	474	64.8	80.7	483
London South Bank	254	3.99	2.52	0.41	67.4	17.2	1,450	437	60.4	73.1	443
London Metropolitan	247	4.00	2.44	0.15	47.0	17.4	736	571	52.6	71.0	322
Glyndwr	236	4.10	2.15	0.16	66.1	22.1	1,447	412	55.6	74.3	378
Bedfordshire	234	4.08	2.52	0.27	57.9	17.4	1,461	599	50.4	76.3	423
